Period,Country,Sector,Subsector,Flow,Value,Marker
year/2018,bulgaria,cultural-sector,radio,exports,0.0,suppressed
year/2018,bulgaria,cultural-sector,photography,exports,0.0,
year/2018,bulgaria,cultural-sector,cultural-crafts,exports,0.0,
year/2018,bulgaria,cultural-sector,museums-and-galleries,exports,0.0,
year/2018,bulgaria,cultural-sector,library-and-archives,exports,0.0,suppressed
year/2018,bulgaria,cultural-sector,cultural-education,exports,0.0,
year/2018,bulgaria,cultural-sector,operation-of-historical-sites-and-similar-visitor-attractions,exports,0.0,
year/2018,bulgaria,audio-visual,audio-visual,exports,35.8497545890786,
year/2018,croatia,dcms-sectors-exc-tourism-and-civil-society,creative-industries,exports,25.7520980554911,
year/2018,croatia,dcms-sectors-exc-tourism-and-civil-society,cultural-sector,exports,17.9399308099516,
year/2018,croatia,dcms-sectors-exc-tourism-and-civil-society,digital-sector,exports,27.113149124408,
year/2018,croatia,dcms-sectors-exc-tourism-and-civil-society,gambling,exports,0.0,
year/2018,croatia,dcms-sectors-exc-tourism-and-civil-society,sport,exports,0.0,suppressed
year/2018,croatia,dcms-sectors-exc-tourism-and-civil-society,telecoms,exports,1.9225338906484,
year/2018,croatia,dcms-sectors-exc-tourism-and-civil-society,dcms-sectors-exc-tourism-and-civil-society,exports,39.2738884895381,
year/2018,croatia,creative-industries,advertising-and-marketing,exports,1.400293186081,
year/2018,croatia,creative-industries,architecture,exports,0.0,suppressed
year/2018,croatia,creative-industries,crafts,exports,0.0,
year/2018,croatia,creative-industries,design-and-designer-fashion,exports,0.0,suppressed
year/2018,croatia,creative-industries,film-tv-radio-and-photography,exports,15.2127689446275,
year/2018,croatia,creative-industries,it-software-and-computer-services,exports,4.7073043315954,
year/2018,croatia,creative-industries,publishing,exports,1.4265697278631,
year/2018,croatia,creative-industries,museums-galleries-and-libraries,exports,0.0,suppressed
year/2018,croatia,creative-industries,music-performing-and-visual-arts,exports,2.7251618653241,
year/2018,croatia,digital-sector,manufacturing-of-electronics-and-computers,exports,0.0,suppressed
year/2018,croatia,digital-sector,wholesale-of-computers-and-electronics,exports,0.0,suppressed
year/2018,croatia,digital-sector,publishing-excluding-translation-and-interpretation-activities,exports,1.4135697278631,
year/2018,croatia,digital-sector,software-publishing,exports,0.0,suppressed
year/2018,croatia,digital-sector,film-tv-video-radio-and-music,exports,17.6614846309025,
year/2018,croatia,digital-sector,telecommunications,exports,1.9225338906484,
year/2018,croatia,digital-sector,computer-programming-consultancy-and-related-activities,exports,5.4581997282974,
year/2018,croatia,digital-sector,information-service-activities,exports,0.5632790733921,
year/2018,croatia,digital-sector,repair-of-computers-and-communication-equipment,exports,0.0,suppressed
year/2018,croatia,cultural-sector,arts,exports,0.2764461790491,
year/2018,croatia,cultural-sector,film-tv-and-music,exports,17.6434846309025,
year/2018,croatia,cultural-sector,radio,exports,0.0,suppressed
year/2018,croatia,cultural-sector,photography,exports,0.0,
year/2018,croatia,cultural-sector,cultural-crafts,exports,0.0,
year/2018,croatia,cultural-sector,museums-and-galleries,exports,0.0,
year/2018,croatia,cultural-sector,library-and-archives,exports,0.0,suppressed
year/2018,croatia,cultural-sector,cultural-education,exports,0.0,
year/2018,croatia,cultural-sector,operation-of-historical-sites-and-similar-visitor-attractions,exports,0.0,
